1,Wii,2006,Sports,Nintendo
2,NES,1985,Platform,Nintendo
3,NES,1984,Shooter,Nintendo
4,GB,1989,Puzzle,Nintendo
5,Wii,2008,Racing,Nintendo
6,Wii,2009,Sports,Nintendo
7,X360,2010,Misc,Microsoft Game Studios
8,Wii,2009,Platform,Nintendo
9,Wii,2006,Misc,Nintendo
10,SNES,1990,Platform,Nintendo
11,DS,2006,Platform,Nintendo
12,GB,1996,Role-Playing,Nintendo
13,GB,1989,Platform,Nintendo
14,DS,2005,Racing,Nintendo
15,X360,2010,Shooter,Activision
16,X360,2013,Action,Take-Two Interactive
17,NES,1988,Platform,Nintendo
18,PS2,2004,Action,Take-Two Interactive
19,Wii,2009,Sports,Nintendo
20,DS,2005,Simulation,Nintendo
21,X360,2011,Shooter,Activision
22,GB,1999,Role-Playing,Nintendo
23,Wii,2007,Sports,Nintendo
24,X360,2009,Shooter,Activision
25,PS2,2002,Action,Take-Two Interactive
26,X360,2012,Shooter,Activision
27,X360,2007,Shooter,Microsoft Game Studios
28,2600,1982,Puzzle,Atari
29,X360,2010,Shooter,Microsoft Game Studios
30,PS3,2013,Action,Take-Two Interactive
31,PS2,2001,Action,Take-Two Interactive
32,N64,1996,Platform,Nintendo
33,PS2,2001,Racing,Sony Computer Entertainment
34,XB,2004,Shooter,Microsoft Game Studios
35,X360,2008,Action,Take-Two Interactive
36,Wii,2008,Fighting,Nintendo
37,X360,2013,Shooter,Activision
38,X360,2012,Shooter,Microsoft Game Studios
39,DS,2006,Role-Playing,Nintendo
40,Wii,2007,Platform,Nintendo
41,GB,1992,Adventure,Nintendo
42,GBA,2002,Role-Playing,Nintendo
43,Wii,2011,Misc,Ubisoft
44,SNES,1993,Platform,Nintendo
45,PS3,2010,Shooter,Activision
46,X360,2007,Shooter,Activision
47,GB,1998,Role-Playing,Nintendo
48,Wii,2010,Misc,Ubisoft
49,N64,1997,Shooter,Nintendo
50,PS4,2015,Shooter,Activision
51,X360,2013,Misc,Microsoft Game Studios
52,DS,2010,Role-Playing,Nintendo
53,N64,1996,Racing,Nintendo
54,PS3,2011,Shooter,Activision
55,NES,1988,Platform,Nintendo
56,3DS,2013,Role-Playing,Nintendo
57,DS,2004,Platform,Nintendo
58,X360,2011,Role-Playing,Bethesda Softworks
59,PS3,2012,Shooter,Activision
60,PS3,2009,Shooter,Activision
61,3DS,2011,Platform,Nintendo
62,X360,2008,Shooter,Activision
63,PS3,2008,Action,Take-Two Interactive
64,DS,2005,Misc,Nintendo
65,3DS,2011,Racing,Nintendo
66,DS,2007,Misc,Nintendo
67,X360,2011,Shooter,Electronic Arts
68,DS,2009,Action,Nintendo
69,SNES,1994,Platform,Nintendo
70,GBA,2004,Role-Playing,Nintendo
71,3DS,2014,Role-Playing,Nintendo
72,N64,1998,Action,Nintendo
73,PS3,2013,Shooter,Activision
74,PS,1997,Racing,Sony Computer Entertainment
75,PS,1999,Racing,Sony Computer Entertainment
76,Wii,2007,Misc,Nintendo
77,PS4,2014,Action,Take-Two Interactive
78,PS,1997,Platform,Sony Computer Entertainment
79,3DS,2012,Platform,Nintendo
80,Wii,2010,Platform,Nintendo
81,SNES,1992,Racing,Nintendo
82,DS,2005,Puzzle,Nintendo
83,3DS,2014,Fighting,Nintendo
84,PS2,2004,Racing,Sony Computer Entertainment
85,PS,1997,Role-Playing,Sony Computer Entertainment
86,PS3,2010,Racing,Sony Computer Entertainment
87,PS4,2015,Shooter,Electronic Arts
88,DS,2012,Role-Playing,Nintendo
89,PS2,2001,Role-Playing,Sony Computer Entertainment
90,PSP,2005,Action,Take-Two Interactive
91,DS,2008,Role-Playing,Nintendo
92,PS4,2014,Shooter,Activision
93,Wii,2007,Sports,Sega
94,DS,2005,Simulation,Nintendo
95,PS,1999,Role-Playing,SquareSoft
96,3DS,2012,Simulation,Nintendo
97,Wii,2010,Misc,Nintendo
98,PS4,2015,Sports,Electronic Arts
99,PS3,2012,Action,Electronic Arts
100,PC,2009,Simulation,Electronic Arts
